pattern_id,point_index,x,z
pat_11,0,-6.468,1.1060090267575309
pat_11,1,-6.248745762711865,0.8261135076768138
pat_11,2,-6.029491525423729,0.5470105064337619
pat_11,3,-5.8102372881355935,0.268908931531834
pat_11,4,-5.590983050847457,-0.008556285443071895
pat_11,5,-5.371728813559322,-0.2860432381365256
pat_11,6,-5.152474576271186,-0.5642005844120743
pat_11,7,-4.933220338983051,-0.8433657768313829
pat_11,8,-4.713966101694915,-1.123286141920727
pat_11,9,-4.49471186440678,-1.4028835266962496
pat_11,10,-4.275457627118644,-1.680080484449715
pat_11,11,-4.056203389830508,-1.9517020850108207
pat_11,12,-3.8369491525423736,-2.213462644520734
pat_11,13,-3.617694915254238,-2.4600412683582467
pat_11,14,-3.3984406779661023,-2.685244418043902
pat_11,15,-3.1791864406779666,-2.8822480961638064
pat_11,16,-2.959932203389831,-3.0439070367116177
pat_11,17,-2.7406779661016953,-3.1631138116835333
pat_11,18,-2.52142372881356,-3.2331872946741282
pat_11,19,-2.302169491525424,-3.2482676747092727
pat_11,20,-2.082915254237289,-3.203694331288183
pat_11,21,-1.8636610169491525,-3.0963434251291893
pat_11,22,-1.6444067796610173,-2.924904003068397
pat_11,23,-1.4251525423728812,-2.690074650116418
pat_11,24,-1.205898305084746,-2.39466705903515
pat_11,25,-0.98664406779661,-2.043608073394339
pat_11,26,-0.7673898305084748,-1.6438374878238156
pat_11,27,-0.5481355932203387,-1.2041048198341946
pat_11,28,-0.3288813559322035,-0.7346740490593194
pat_11,29,-0.10962711864406742,-0.24695060831624688
pat_11,30,0.10962711864406778,0.24695060831624907
pat_11,31,0.32888135593220386,0.7346740490593215
pat_11,32,0.5481355932203391,1.2041048198341964
pat_11,33,0.7673898305084743,1.6438374878238156
pat_11,34,0.9866440677966104,2.0436080733943403
pat_11,35,1.2058983050847456,2.39466705903515
pat_11,36,1.4251525423728808,2.690074650116418
pat_11,37,1.644406779661017,2.924904003068397
pat_11,38,1.863661016949153,3.0963434251291897
pat_11,39,2.082915254237289,3.2036943312881836
pat_11,40,2.302169491525423,3.2482676747092727
pat_11,41,2.5214237288135593,3.2331872946741282
pat_11,42,2.7406779661016953,3.163113811683533
pat_11,43,2.9599322033898314,3.0439070367116168
pat_11,44,3.1791864406779657,2.8822480961638064
pat_11,45,3.398440677966102,2.6852444180439012
pat_11,46,3.617694915254238,2.4600412683582453
pat_11,47,3.836949152542374,2.213462644520732
pat_11,48,4.056203389830508,1.9517020850108207
pat_11,49,4.275457627118644,1.680080484449715
pat_11,50,4.4947118644067805,1.4028835266962487
pat_11,51,4.713966101694915,1.123286141920727
pat_11,52,4.933220338983051,0.8433657768313831
pat_11,53,5.152474576271187,0.5642005844120728
pat_11,54,5.371728813559323,0.2860432381365248
pat_11,55,5.590983050847457,0.008556285443072069
pat_11,56,5.8102372881355935,-0.2689089315318338
pat_11,57,6.02949152542373,-0.5470105064337626
pat_11,58,6.248745762711866,-0.8261135076768148
pat_11,59,6.468,-1.1060090267575309
pat_12,0,-6.468,-4.850347032532031
pat_12,1,-6.248745762711865,-4.840673941871106
pat_12,2,-6.029491525423729,-4.829130095272977
pat_12,3,-5.8102372881355935,-4.815359529969412
pat_12,4,-5.590983050847457,-4.7989410318093055
pat_12,5,-5.371728813559322,-4.7793772271105635
pat_12,6,-5.152474576271186,-4.756082302465999
pat_12,7,-4.933220338983051,-4.728368383438097
pat_12,8,-4.713966101694915,-4.695430718268614
pat_12,9,-4.49471186440678,-4.656331984551467
pat_12,10,-4.275457627118644,-4.6099862830634315
pat_12,11,-4.056203389830508,-4.55514372326255
pat_12,12,-3.8369491525423736,-4.490376958328878
pat_12,13,-3.617694915254238,-4.414071607418025
pat_12,14,-3.3984406779661023,-4.324423208321593
pat_12,15,-3.1791864406779666,-4.2194441470056425
pat_12,16,-2.959932203389831,-4.096984837790294
pat_12,17,-2.7406779661016953,-3.9547741369447147
pat_12,18,-2.52142372881356,-3.790484329620372
pat_12,19,-2.302169491525424,-3.6018256977590717
pat_12,20,-2.082915254237289,-3.3866742280817324
pat_12,21,-1.8636610169491525,-3.143233004923381
pat_12,22,-1.6444067796610173,-2.870222922850481
pat_12,23,-1.4251525423728812,-2.5670915657595357
pat_12,24,-1.205898305084746,-2.2342210725555245
pat_12,25,-0.98664406779661,-1.873108028355601
pat_12,26,-0.7673898305084748,-1.4864832011488651
pat_12,27,-0.5481355932203387,-1.0783390042026184
pat_12,28,-0.3288813559322035,-0.6538400985739137
pat_12,29,-0.10962711864406742,-0.2191080253282362
pat_12,30,0.10962711864406778,0.2191080253282382
pat_12,31,0.32888135593220386,0.653840098573914
pat_12,32,0.5481355932203391,1.0783390042026193
pat_12,33,0.7673898305084743,1.4864832011488645
pat_12,34,0.9866440677966104,1.8731080283556012
pat_12,35,1.2058983050847456,2.234221072555525
pat_12,36,1.4251525423728808,2.5670915657595343
pat_12,37,1.644406779661017,2.8702229228504805
pat_12,38,1.863661016949153,3.143233004923381
pat_12,39,2.082915254237289,3.3866742280817324
pat_12,40,2.302169491525423,3.6018256977590712
pat_12,41,2.5214237288135593,3.7904843296203707
pat_12,42,2.7406779661016953,3.9547741369447156
pat_12,43,2.9599322033898314,4.096984837790294
pat_12,44,3.1791864406779657,4.2194441470056425
pat_12,45,3.398440677966102,4.324423208321593
pat_12,46,3.617694915254238,4.414071607418026
pat_12,47,3.836949152542374,4.490376958328878
pat_12,48,4.056203389830508,4.55514372326255
pat_12,49,4.275457627118644,4.6099862830634315
pat_12,50,4.4947118644067805,4.656331984551468
pat_12,51,4.713966101694915,4.695430718268614
pat_12,52,4.933220338983051,4.728368383438097
pat_12,53,5.152474576271187,4.756082302465999
pat_12,54,5.371728813559323,4.7793772271105635
pat_12,55,5.590983050847457,4.798941031809306
pat_12,56,5.8102372881355935,4.815359529969412
pat_12,57,6.02949152542373,4.829130095272978
pat_12,58,6.248745762711866,4.840673941871106
pat_12,59,6.468,4.850347032532031
pat_13,0,-1.9479580773400798,-6.468
pat_13,1,-1.8819256001421112,-5.757026986357675
pat_13,2,-1.8158931229441422,-5.096921432338197
pat_13,3,-1.7498606457461734,-4.485898514796905
pat_13,4,-1.6838281685482046,-3.9221734105891364
