pattern_id,point_index,x,z
pat_03,36,1.2054347194054362,1.110718393810954
pat_03,37,0.9686668356783266,1.7510968662534214
pat_03,38,0.31785614,1.9240746116683884
pat_03,39,-0.351634294,1.7363135892010746
pat_03,40,-0.978585214,1.4316887361911315
pat_03,41,-1.575952508,1.0719974480762988
pat_03,42,-2.151570163,0.6783155445581243
pat_03,43,-2.70912967,0.25941545959743323
pat_03,44,-3.248782191,-0.182303476
pat_03,45,-3.761500057,-0.654781402
pat_03,46,-3.614204293,-0.808010419
pat_03,47,-3.006026571,-0.466770212
pat_03,48,-2.403904437,-0.114822397
pat_03,49,-1.798690078,0.2317658875826974
pat_03,50,-1.185733629,0.5644322317690144
pat_03,51,-0.560443015,0.8731943102899175
pat_03,52,0.083341124,1.1409124022696653
pat_03,53,0.7543204369162664,1.327923919451389
pat_03,54,1.4431801787530878,1.3000976116592193
pat_03,55,1.8599547053081174,0.7797971988205384
pat_03,56,1.8629511765760625,0.085977188
pat_03,57,1.6692490996318057,-0.435311288
pat_03,58,1.1727306564594315,0.054472409
pat_03,59,0.6762122132870567,0.5442561063202391
pat_04,0,0.8453492882747933,1.816443097
pat_04,1,0.31407014042912235,2.223166986595766
pat_04,2,-0.355123701,2.282500143306355
pat_04,3,-0.973814898,2.016537348315091
pat_04,4,-1.418576981,1.5094504892144065
pat_04,5,-1.626208759,0.8669104377526552
pat_04,6,-1.581924605,0.192546926
pat_04,7,-1.306274847,-0.424971863
pat_04,8,-0.843001952,-0.918082459
pat_04,9,-0.248686369,-1.242041496
pat_04,10,0.4154354522275929,-1.374011291
pat_04,11,1.0897484606094519,-1.31044209
pat_04,12,1.7206629838226986,-1.063637043
pat_04,13,2.2634892009428658,-0.658048072
pat_04,14,2.6839997176493733,-0.126535029
pat_04,15,2.959006124291319,0.4930267070543811
pat_04,16,3.0761436410442764,1.1607815338897973
pat_04,17,3.0330584295211995,1.8374507288112578
pat_04,18,2.836207703056483,2.486370398656028
pat_04,19,2.4994273623949486,3.0750334065777745
pat_04,20,2.0423985028852476,3.576188864860323
pat_04,21,1.4890525706638007,3.9685134226830145
pat_04,22,0.8660452699465857,4.236925296986632
pat_04,23,0.20131858905530053,4.372532661478706
pat_04,24,-0.477145045,4.372425740177755
pat_04,25,-1.142439716,4.239185458888849
pat_04,26,-1.769657499,3.9802998288081888
pat_04,27,-2.336599132,3.607404766849365
pat_04,28,-2.824360574,3.1355905426671837
pat_04,29,-3.217642803,2.582515279138722
pat_04,30,-3.505044099,1.967694253253664
pat_04,31,-3.679011143,1.3116616927965692
pat_04,32,-3.735891877,0.635316889
pat_04,33,-3.675690283,-0.040764805
pat_04,34,-3.501832337,-0.69690287
pat_04,35,-3.220768045,-1.314783597
pat_04,36,-2.841715027,-1.877917194
pat_04,37,-2.37611475,-2.371927029
pat_04,38,-1.837201807,-2.784756074
pat_04,39,-1.239640493,-3.106933266
pat_04,40,-0.598978938,-3.331554586
pat_04,41,0.068747322,-3.454297108
pat_04,42,0.7474054762526277,-3.473467939
pat_04,43,1.4211707739075932,-3.389772608
pat_04,44,2.0748576038550537,-3.206258034
pat_04,45,2.6942119735122665,-2.928044591
pat_04,46,3.266193395117801,-2.562179629
pat_04,47,3.779157750116756,-2.117315144
pat_04,48,4.223061593,-1.603503342
pat_04,49,4.589548030592633,-1.031876893
pat_04,50,4.872080524997522,-0.414414031
pat_04,51,5.065912105908939,0.2363777434480247
pat_04,52,5.168154041047842,0.9076898867588128
pat_04,53,5.177749042254557,1.5866843750802202
pat_04,54,5.095348488924391,2.2607383366095783
pat_04,55,4.923279186351301,2.917658771560382
pat_04,56,4.665371273116187,3.545870004923546
pat_04,57,4.326882197525206,4.134599008199225
pat_04,58,3.9143411213021837,4.674039256
pat_04,59,3.4353767297369266,5.155486354692519
pat_05,0,0.49067703655728606,-0.514844609
pat_05,1,0.8885425331547232,-0.107520717
pat_05,2,1.2897435192438875,0.2965135066426219
pat_05,3,1.6979093427631495,0.6934984530814724
pat_05,4,2.117307055,1.0785718062065297
pat_05,5,2.5533196363633786,1.444664188303786
pat_05,6,3.013091345462864,1.7802680100392956
pat_05,7,3.5060356643945956,2.064370430614491
pat_05,8,4.041335243225459,2.2545119137634417
pat_05,9,4.606690052382541,2.2686266753109674
pat_05,10,5.118429489363554,2.0317127080783166
pat_05,11,5.492097056,1.605732237639645
pat_05,12,5.7392755694907525,1.0939562200358928
pat_05,13,5.894107239923193,0.5465351949167437
pat_05,14,5.977752956696922,-0.016365908
